slug,generic_name,display_name,active_ingredient,salt,category,description,strengths,dosage_forms,routes,mechanism_of_action,pronunciation_en,key_suffix,verification_status
felodipine,Felodipine,Felodipine,Felodipine,Felodipine,Cardiovascular,"A second-generation dihydropyridine calcium channel blocker with exceptional vascular selectivity (100:1 vascular to cardiac smooth muscle ratio), used once daily in extended-release form for hypertension and angina.",2.5 mg ER; 5 mg ER; 10 mg ER,Extended-Release Tablet,Oral,"Selectively blocks voltage-gated L-type calcium channels in vascular smooth muscle cells, inhibiting calcium influx and causing arteriolar dilation; has 100-fold higher selectivity for vascular smooth muscle than myocardial tissue.",fe-LOE-di-peen,-dipine,verified
nitrendipine,Nitrendipine,Nitrendipine,Nitrendipine,Nitrendipine,Cardiovascular,A classical dihydropyridine calcium channel blocker proven in the landmark Syst-Eur trial to reduce stroke by 42% and vascular dementia by 50% in elderly patients with isolated systolic hypertension.,10 mg; 20 mg,Tablet,Oral,"Inhibits L-type calcium channel current in vascular smooth muscle, decreasing intracellular calcium availability and producing arteriolar vasodilation and reduced total peripheral resistance.",nye-TREN-di-peen,-dipine,verified
metolazone,Metolazone,Metolazone,Metolazone,Metolazone,Cardiovascular,"A potent quinazoline-sulfonamide diuretic that acts on the proximal and distal tubules, uniquely retaining efficacy even in advanced renal failure (eGFR < 30 mL/min) and creating massive synergy with loop diuretics.",2.5 mg; 5 mg,Tablet,Oral,Inhibits sodium and chloride reabsorption in the cortical diluting segment of the distal convoluted tubule and proximal tubule; unique quinazoline structure allows it to remain active at low glomerular filtration rates.,me-TOE-la-zone,-zone,verified
acetazolamide,Acetazolamide,Acetazolamide,Acetazolamide,Acetazolamide,Cardiovascular,"A prototypical carbonic anhydrase inhibitor that blocks bicarbonate reabsorption in the proximal tubule, used for acute mountain sickness, glaucoma, metabolic alkalosis, and idiopathic intracranial hypertension.",250 mg; 500 mg SR; 500 mg IV vial,Tablet; Extended-Release Capsule; Powder for Injection,Oral; Intravenous,"Non-competitively and reversibly inhibits carbonic anhydrase (predominantly CA-II and CA-IV) in the renal proximal tubule, ciliary body of the eye, and choroid plexus; blocks H+ ion exchange for Na+, promoting urinary excretion of bicarbonate, sodium, potassium, and water.",a-see-ta-ZOLE-a-mide,-zolamide,verified
isosorbide-mononitrate,Isosorbide Mononitrate (ISMN),Isosorbide Mononitrate Sustained Release,Isosorbide mononitrate,Isosorbide mononitrate,Cardiovascular,"An active organic nitrate vasodilator with 100% oral bioavailability and zero hepatic first-pass metabolism, providing predictable long-term prophylaxis for stable coronary artery disease.",20 mg; 30 mg SR; 60 mg SR,Tablet; Sustained-Release Tablet,Oral,"Denitrated intracellularly in vascular smooth muscle to release nitric oxide (NO); NO stimulates soluble guanylyl cyclase, increasing cyclic GMP (cGMP), leading to dephosphorylation of myosin light chains and marked venodilation.",eye-soe-SOR-bide mon-oh-NYE-trate,-nitrate,verified
isosorbide-dinitrate,Isosorbide Dinitrate (ISDN),Isosorbide Dinitrate,Isosorbide dinitrate,Isosorbide dinitrate,Cardiovascular,An organic nitrate vasodilator used sublingually for acute angina relief and orally combined with hydralazine (BiDil) to significantly reduce mortality in Black patients with heart failure (A-HeFT trial).,5 mg sublingual; 10 mg; 20 mg; 40 mg SR,Sublingual Tablet; Immediate-Release Tablet; Sustained-Release Tablet,Sublingual; Oral,"Releases free nitric oxide in vascular smooth muscle, stimulating guanylyl cyclase to produce cGMP; selectively dilates venous capacitance vessels to decrease preload, and dilates large epicardial coronary arteries.",eye-soe-SOR-bide dye-NYE-trate,-nitrate,verified
nitroglycerin,Nitroglycerin (Glyceryl Trinitrate - GTN),Nitroglycerin (Glyceryl Trinitrate),Nitroglycerin,Nitroglycerin,Cardiovascular,"The foundational rapid-acting organic nitrate vasodilator used sublingually for immediate termination of acute angina attacks and intravenously for acute heart failure, pulmonary oedema, and hypertensive emergencies.","0.4 mg (400 mcg) sublingual tablet; 0.4 mg/metered dose sublingual spray; 5 mg/mL (5 mL, 10 mL IV ampoules); 2.5 mg, 6.5 mg sustained release; 5 mg/24h, 10 mg/24h transdermal patch; 2% ointment",Sublingual Tablet; Sublingual Aerosol Spray; Solution for Injection / Infusion; Transdermal Patch; Topical Ointment,Sublingual; Intravenous; Transdermal; Topical,"Denitrated in vascular smooth muscle by mitochondrial aldehyde dehydrogenase (ALDH-2) to release nitric oxide (NO); stimulates guanylyl cyclase, increasing intracellular cGMP and causing profound venous dilation, lowering preload and ventricular wall stress; dilates coronary collaterals.",nye-troe-GLIS-er-in,-glycerin,verified
nicorandil,Nicorandil,Nicorandil,Nicorandil,Nicorandil,Cardiovascular,"A dual-action potassium channel opener and organic nitrate donor that provides balanced arterial and venous dilation without developing nitrate tolerance, proven to reduce major coronary events (IONA study).",5 mg; 10 mg,Scored Tablet,Oral,"Dual mechanism: opens ATP-sensitive potassium channels (K-ATP) in arterial smooth muscle causing hyperpolarization and arteriolar dilation (reduces afterload and mimics ischemic preconditioning), AND contains a nitrate moiety that donates nitric oxide (NO) causing venodilation (reduces preload) and coronary vasodilation.",nye-KOR-an-dil,-andil,verified
ranolazine,Ranolazine,Ranolazine Extended-Release,Ranolazine,Ranolazine,Cardiovascular,"A first-in-class late inward sodium current (INa-late) inhibitor that reduces intracellular calcium overload in ischemic cardiomyocytes, improving myocardial perfusion without lowering heart rate or blood pressure.",500 mg ER; 1000 mg ER,Extended-Release Tablet,Oral,"Selectively inhibits the late inward sodium current (late INa) in ischemic myocardial cells, preventing sodium accumulation, reversing reverse Na+/Ca2+ exchange, and attenuating intracellular calcium overload; reduces diastolic wall tension and mechanical compression of microvascular coronary vessels.",ra-NOE-la-zeen,-azine,verified
trimetazidine,Trimetazidine,Trimetazidine Modified Release,Trimetazidine dihydrochloride,Trimetazidine dihydrochloride,Cardiovascular,"A cellular anti-ischemic metabolic agent that shifts myocardial energy metabolism from fatty acid oxidation to glucose oxidation, protecting cardiomyocytes against ischemia without hemodynamic effects.",20 mg; 35 mg MR; 80 mg OD,Film-coated Tablet; Modified-Release Tablet,Oral,"Selectively inhibits mitochondrial long-chain 3-ketoacyl-CoA thiolase (3-KAT), suppressing fatty acid beta-oxidation; shifts cellular energy production toward glucose oxidation, which requires less oxygen per ATP molecule produced, optimizing cardiomyocyte energy during ischemia.",trye-MET-a-zi-deen,-zidine,verified
daclatasvir,Daclatasvir,Daclatasvir Dihydrochloride,Daclatasvir dihydrochloride,Daclatasvir dihydrochloride,Antivirals,"A potent direct-acting antiviral targeting HCV non-structural protein 5A (NS5A), combined with sofosbuvir for pan-genotypic Hepatitis C cures.",30 mg; 60 mg,Film-coated Tablet,Oral,"Binds to the N-terminus of Domain I of the HCV NS5A replication complex, inhibiting both viral RNA replication and virion assembly.",da-KLA-tas-veer,-asvir,verified
tenofovir-alafenamide,Tenofovir Alafenamide (TAF),Tenofovir Alafenamide Fumarate,Tenofovir alafenamide fumarate,Tenofovir alafenamide fumarate,Antivirals,"A targeted nucleotide reverse transcriptase inhibitor (NRTI) prodrug delivering higher intracellular levels with 90% lower systemic tenofovir exposure, reducing renal and bone toxicities.",25 mg,Film-coated Tablet,Oral,"Hydrolyzed intracellularly by carboxylesterase 1 (CES1) and cathepsin A in PBMCs and hepatocytes to tenofovir, which is diphosphorylated to tenofovir diphosphate; inhibits HBV reverse transcriptase and HIV-1 reverse transcriptase by chain termination.",te-NOE-foe-veer a-la-FEN-a-mide,-fovir,verified
adefovir,Adefovir Dipivoxil,Adefovir Dipivoxil,Adefovir dipivoxil,Adefovir dipivoxil,Antivirals,"An oral acyclic nucleotide analogue used for chronic Hepatitis B, particularly effective against lamivudine-resistant YMDD mutant HBV strains.",10 mg,Tablet,Oral,"Diester prodrug converted intracellularly by esterases to adefovir, which is phosphorylated to adefovir diphosphate; competitively inhibits HBV DNA polymerase and causes chain termination.",a-DEF-oh-veer,-fovir,verified
lamivudine,Lamivudine (3TC),Lamivudine,Lamivudine,Lamivudine,Antivirals,A classical cytidine nucleoside reverse transcriptase inhibitor (NRTI) used in combination regimens for HIV-1 infection and as a lower-dose agent for chronic Hepatitis B.,100 mg (HBV); 150 mg; 300 mg (HIV); 10 mg/mL oral solution,Film-coated Tablet; Oral Solution,Oral,"Phosphorylated intracellularly to lamivudine 5'-triphosphate, which competitively inhibits HIV-1 reverse transcriptase and HBV DNA polymerase, causing viral DNA chain termination.",la-MI-vyoo-deen,-vudine,verified
praziquantel,Praziquantel,Praziquantel,Praziquantel,Praziquantel,Antiparasitics,"The global broad-spectrum anthelmintic of choice for schistosomiasis, liver and lung flukes, and cestode (tapeworm) infections including neurocysticercosis.",600 mg,Film-coated Scored Tablet,Oral,"Increases cell membrane permeability to calcium ions in platyhelminths, producing rapid calcium influx, massive muscular contraction, paralysis, and tegumental vacuolization; dislodges parasites, exposing them to host immune attack.",pra-zi-KWAN-tel,-quantel,verified
ornidazole,Ornidazole,Ornidazole,Ornidazole,Ornidazole,Antiparasitics,"A 5-nitroimidazole derivative with a longer half-life (14 hours) and lower neurotoxicity than metronidazole, widely used in India for amoebiasis, giardiasis, and anaerobic infections.",500 mg; 500 mg/100 mL IV infusion,Film-coated Tablet; Solution for Infusion,Oral; Intravenous,"Enters microbial cells by passive diffusion; nitro group is reduced by ferredoxin oxidoreductase into toxic free radicals that bind to bacterial and protozoan DNA, causing strand breakage and cell death.",or-NI-da-zole,-dazole,verified
pyrantel-pamoate,Pyrantel Pamoate,Pyrantel Pamoate,Pyrantel pamoate,Pyrantel pamoate,Antiparasitics,"A depolarizing neuromuscular blocking anthelmintic that paralyzes pinworms, roundworms, and hookworms in the intestinal lumen, expelled safely by normal peristalsis.",250 mg; 50 mg/mL oral suspension,Chewable Tablet; Oral Suspension,Oral,"Acts as a depolarizing neuromuscular junction blocker and nicotinic acetylcholine receptor agonist in nematodes; causes persistent muscular depolarization, spastic paralysis, and detachment from the intestinal wall.",pye-RAN-tel PAM-oh-ate,-antel,verified
ciclopirox,Ciclopirox,Ciclopirox Olamine,Ciclopirox olamine,Ciclopirox olamine,Antifungals,"A broad-spectrum hydroxypyridone antifungal with a unique metal ion-chelating mechanism, anti-inflammatory and antibacterial activity, used for onychomycosis, seborrheic dermatitis, and tinea.",8% nail lacquer; 1% cream; 1% shampoo; 0.77% gel,Nail Lacquer; Topical Cream; Medicated Shampoo; Topical Gel,Topical,"Chelates polyvalent cations (Fe3+ and Al3+), inhibiting metal-dependent enzymes (cytochromes, catalase, peroxidase) in fungal mitochondria; disrupts membrane transport and electron transport chains.",sye-kloe-PEER-ox,-pirox,verified
nystatin,Nystatin,Nystatin,Nystatin,Nystatin,Antifungals,"A classical polyene macrolide antifungal not absorbed from the gastrointestinal tract, serving as the gold standard topical and oral suspension treatment for oral candidiasis (thrush).","100,000 units/mL oral suspension; 100,000 units/g topical cream; 100,000 units vaginal tablet",Oral Suspension; Topical Cream; Topical Ointment; Vaginal Tablet,Oral (Topical Swish and Swallow); Topical; Vaginal,"Binds irreversibly to ergosterol in the fungal cell membrane, forming transmembrane pores and barrel-like channels that leak potassium and essential cellular constituents, causing fungal cell death.",nye-STAT-in,-statin,verified
favipiravir,Favipiravir,Favipiravir,Favipiravir,Favipiravir,Antivirals,"An oral pyrazinecarboxamide antiviral prodrug that selectively inhibits viral RNA-dependent RNA polymerase (RdRp), approved for novel or re-emerging pandemic influenza strains.",200 mg; 400 mg; 800 mg,Film-coated Tablet,Oral,"Phosphoribosylated intracellularly to active favipiravir ribofuranosyltriphosphate (favipiravir-RTP), which selectively inhibits viral RNA-dependent RNA polymerase (RdRp) or incorporates into viral RNA, causing chain termination and lethal mutagenesis.",fa-vi-PEER-a-veer,-piravir,verified
amiodarone,Amiodarone,Amiodarone Hydrochloride,Amiodarone hydrochloride,Amiodarone hydrochloride,Antiarrhythmics,"A broad-spectrum Class III antiarrhythmic with electrophysiologic properties spanning all four Vaughan Williams classes, widely used for refractory ventricular and supraventricular arrhythmias.",100 mg; 200 mg; 150 mg/3 mL IV ampoule,Tablet; Solution for Injection,Oral; Intravenous,"Predominantly blocks myocardial outward potassium currents (IKr, IKs), prolonging action potential duration and refractory period; additionally blocks inactivated sodium channels (Class I), non-competitively blocks beta receptors (Class II), and inhibits L-type calcium channels (Class IV).",a-MEE-oh-da-rone,-arone,verified
flecainide,Flecainide,Flecainide Acetate,Flecainide acetate,Flecainide acetate,Antiarrhythmics,"A potent Class IC antiarrhythmic with marked sodium channel blockade and slow dissociation kinetics, used as the first-line 'pill-in-the-pocket' for paroxysmal atrial fibrillation in structurally normal hearts.",50 mg; 100 mg; 150 mg,Tablet,Oral,"Markedly blocks open fast inward voltage-gated sodium channels (Nav1.5) with slow dissociation kinetics; significantly slows phase 0 depolarization and His-Purkinje conduction velocity; also blocks cardiac ryanodine receptor (RyR2), suppressing spontaneous calcium release from sarcoplasmic reticulum.",FLEK-a-nide,-inide,verified
propafenone,Propafenone,Propafenone Hydrochloride,Propafenone hydrochloride,Propafenone hydrochloride,Antiarrhythmics,"A Class IC antiarrhythmic with intrinsic mild beta-blocking and local anesthetic properties, used for maintaining sinus rhythm in atrial fibrillation and supraventricular tachycardias.",150 mg; 300 mg; 225 mg SR; 325 mg SR; 425 mg SR,Film-coated Tablet; Extended-Release Capsule,Oral,"Blocks fast inward sodium channels (Class IC) with slow recovery kinetics, slowing phase 0 depolarization; structurally similar to propranolol, exerting mild non-selective beta-adrenergic blockade (approx. 1/40th the potency of propranolol).",proe-pa-FEN-one,-fenone,verified
dronedarone,Dronedarone,Dronedarone Hydrochloride,Dronedarone hydrochloride,Dronedarone hydrochloride,Antiarrhythmics,"A non-iodinated benzofuran derivative of amiodarone designed to reduce multiorgan thyroid and pulmonary toxicities, used to maintain sinus rhythm in paroxysmal or persistent atrial fibrillation.",400 mg,Film-coated Tablet,Oral,"Exhibits multichannel antiarrhythmic activity across all four Vaughan Williams classes (blocks IKr, IKs, INa, ICa, and possesses non-competitive antiadrenergic activity); lacks the iodine moieties of amiodarone and incorporates a methane-sulfonyl group to reduce lipophilicity.",droe-NE-da-rone,-darone,verified
adenosine,Adenosine,Adenosine Injection,Adenosine,Adenosine,Antiarrhythmics,"An endogenous purine nucleoside with an ultra-short half-life (<10 seconds) that transiently blocks AV nodal conduction, serving as the gold standard acute rescue agent for paroxysmal supraventricular tachycardia (PSVT).","3 mg/mL (2 mL vial = 6 mg, 4 mL vial = 12 mg)",Solution for Rapid IV Bolus Injection,Intravenous (Rapid Push),"Binds to myocardial purinergic A1 receptors coupled to Gi proteins, activating inward rectifier potassium channels (IK-Ado) and inhibiting adenylate cyclase-mediated L-type calcium influx; profoundly slows AV nodal conduction velocity and prolongs AV refractory periods.",a-DEN-oh-seen,-sine,verified
mexiletine,Mexiletine,Mexiletine Hydrochloride,Mexiletine hydrochloride,Mexiletine hydrochloride,Antiarrhythmics,"An orally active Class IB antiarrhythmic and structural analogue of lidocaine, used for life-threatening ventricular arrhythmias, myotonic disorders (non-dystrophic myotonia), and neuropathic pain.",150 mg; 200 mg; 250 mg,Capsule,Oral,"Inhibits fast inward voltage-gated sodium channels (Nav1.5 in myocardium, Nav1.4 in skeletal muscle), shortening action potential duration and effective refractory period in Purkinje fibers; accelerates repolarization and blocks persistent/late sodium currents (INa-late).",mex-IL-e-teen,-letine,verified
lidocaine,Lidocaine (Lignocaine),Lidocaine Hydrochloride 2%,Lidocaine hydrochloride,Lidocaine hydrochloride,Antiarrhythmics,"The quintessential Class IB antiarrhythmic and amide local anesthetic, administered intravenously for acute ventricular arrhythmias during myocardial infarction or cardiac arrest, and topically for regional anesthesia.",2% IV vial (20 mg/mL); 1% IV vial (10 mg/mL); 2% topical gel; 5% transdermal patch; 10% aerosol spray,Solution for Injection; Topical Gel; Transdermal Patch; Aerosol Spray,Intravenous; Topical; Infiltration / Nerve Block,"Binds to the intracellular pore of voltage-gated fast sodium channels (Nav1.5) in cardiac tissue, preferentially binding to open and inactivated channels in depolarized, ischemic, or rapidly firing myocardium; shortens action potential duration and effective refractory period.",LYE-doe-kane,-caine,verified
rivaroxaban,Rivaroxaban,Rivaroxaban,Rivaroxaban,Rivaroxaban,Anticoagulants,An oral direct factor Xa inhibitor (DOAC) taken once daily with the evening meal for stroke prevention in non-valvular atrial fibrillation and treatment/prevention of deep vein thrombosis and pulmonary embolism.,2.5 mg; 10 mg; 15 mg; 20 mg,Film-coated Tablet,Oral,"Selectively, reversibly, and competitively inhibits free and clot-bound factor Xa and prothrombinase activity; blocks the intrinsic and extrinsic coagulation pathways, preventing thrombin generation and fibrin clot propagation.",ri-va-ROX-a-ban,-xaban,verified
apixaban,Apixaban,Apixaban,Apixaban,Apixaban,Anticoagulants,"An oral direct factor Xa inhibitor (DOAC) taken twice daily, proven in the landmark ARISTOTLE trial to be superior to warfarin in reducing stroke, major bleeding, and all-cause mortality in atrial fibrillation.",2.5 mg; 5 mg,Film-coated Tablet,Oral,"Potent, reversible, direct, and highly selective inhibitor of free and clot-bound factor Xa and prothrombinase; decreases thrombin generation and prevents fibrin thrombus development.",a-PIX-a-ban,-xaban,verified
dabigatran,Dabigatran Etexilate,Dabigatran Etexilate Mesylate,Dabigatran etexilate mesylate,Dabigatran etexilate mesylate,Anticoagulants,"An oral direct thrombin (Factor IIa) inhibitor prodrug proven in the RE-LY trial to reduce stroke in non-valvular atrial fibrillation, featuring the rapid specific reversal antidote idarucizumab (Praxbind).",75 mg; 110 mg; 150 mg,Capsule,Oral,"Converted by systemic and hepatic esterases to active dabigatran, a potent, competitive, reversible, direct inhibitor of free and clot-bound thrombin (factor IIa); blocks thrombin-mediated cleavage of fibrinogen to fibrin monomers and inhibits thrombin-induced platelet aggregation.",da-bi-GA-tran,-gatran,verified
edoxaban,Edoxaban,Edoxaban Tosylate,Edoxaban tosylate,Edoxaban tosylate,Anticoagulants,A once-daily oral direct factor Xa inhibitor proven in the ENGAGE AF-TIMI 48 trial for stroke prevention in atrial fibrillation and treatment of venous thromboembolism.,15 mg; 30 mg; 60 mg,Film-coated Tablet,Oral,"Selectively and competitively inhibits factor Xa, blocking the conversion of prothrombin to thrombin; inhibits both free and clot-associated factor Xa activity, suppressing coagulation cascades.",e-DOX-a-ban,-xaban,verified
fondaparinux,Fondaparinux,Fondaparinux Sodium,Fondaparinux sodium,Fondaparinux sodium,Anticoagulants,"A synthetic pentasaccharide that selectively binds antithrombin III to inhibit factor Xa, providing parenteral anticoagulation without causing heparin-induced thrombocytopenia (HIT).",2.5 mg/0.5 mL; 5 mg/0.4 mL; 7.5 mg/0.6 mL; 10 mg/0.8 mL prefilled syringes,Solution for Subcutaneous Injection,Subcutaneous,"Synthetic pentasaccharide sequence that selectively and irreversibly binds to antithrombin III (ATIII), inducing a conformational change that accelerates ATIII-mediated neutralization of factor Xa by 300-fold; does NOT inactivate thrombin (factor IIa) and does NOT bind to platelet factor 4 (PF4).",fon-da-PAR-i-nux,-parinux,verified
heparin,Heparin (Unfractionated Heparin - UFH),Heparin Sodium Injection,Heparin sodium,Heparin sodium,Anticoagulants,"A classical parenteral glycosaminoglycan anticoagulant that binds antithrombin III to inactivate thrombin and factor Xa, serving as the gold standard titratable agent for cardiopulmonary bypass, hemodialysis, and acute thromboembolism.","1,000 units/mL; 5,000 units/mL; 10,000 units/mL; 25,000 units/mL vials",Solution for Injection / Infusion,Intravenous; Subcutaneous,"Binds via a unique pentasaccharide sequence to antithrombin III (ATIII), accelerating ATIII-mediated inactivation of thrombin (factor IIa) and factor Xa by 1,000-fold; requires a long polysaccharide chain (at least 18 saccharide units) to form a ternary bridge complex with thrombin.",HEP-a-rin,-parin,verified
bivalirudin,Bivalirudin,Bivalirudin for Injection,Bivalirudin trifluoroacetate,Bivalirudin trifluoroacetate,Anticoagulants,"A synthetic 20-amino acid parenteral direct thrombin inhibitor (hirudin analogue) with a 25-minute half-life, used as an alternative to heparin in percutaneous coronary intervention (PCI) and HIT.",250 mg vial,Lyophilized Powder for Solution for Injection / Infusion,Intravenous,"Binds specifically, reversibly, and directly to both the catalytic site and the anion-binding exosite I of circulating and clot-bound thrombin (factor IIa); cleavage of the bivalirudin Arg3-Pro4 bond by thrombin slowly restores thrombin active site function.",bye-val-i-ROO-din,-irudin,verified
ticagrelor,Ticagrelor,Ticagrelor,Ticagrelor,Ticagrelor,Antiplatelets,"A direct-acting, reversibly binding P2Y12 platelet inhibitor proven in the landmark PLATO trial to significantly reduce cardiovascular mortality, myocardial infarction, and stroke compared to clopidogrel.",60 mg; 90 mg,Film-coated Tablet,Oral,"Reversibly, allosterically, and non-competitively binds to the platelet P2Y12 adenosine diphosphate (ADP) receptor, locking the receptor in an inactive state; additionally inhibits equilibrative nucleoside transporter-1 (ENT1), increasing extracellular adenosine levels.",tye-ka-GREL-or,-grelor,verified
prasugrel,Prasugrel,Prasugrel Hydrochloride,Prasugrel hydrochloride,Prasugrel hydrochloride,Antiplatelets,"A potent, third-generation thienopyridine oral prodrug that irreversibly inhibits platelet P2Y12 receptors, proven in the TRITON-TIMI 38 trial to superiorly prevent stent thrombosis in acute coronary syndromes undergoing PCI.",5 mg; 10 mg,Film-coated Tablet,Oral,"Prodrug rapidly hydrolyzed by intestinal carboxylesterases to a thiolactone intermediate (R-95913), then converted in a single hepatic step by CYP3A4 and CYP2B6 to active metabolite R-138727; irreversibly binds to platelet P2Y12 ADP receptors, permanently blocking ADP-mediated GPIIb/IIIa receptor activation.",PRA-soo-grel,-grelor,verified
cilostazol,Cilostazol,Cilostazol,Cilostazol,Cilostazol,Antiplatelets,"A selective phosphodiesterase-3 (PDE3) inhibitor that suppresses platelet aggregation and produces arterial vasodilation, serving as the gold standard medical treatment for intermittent claudication.",50 mg; 100 mg,Tablet,Oral,"Selectively inhibits phosphodiesterase type 3 (PDE3), preventing cyclic AMP (cAMP) degradation in platelets and vascular smooth muscle; elevated cAMP activates protein kinase A (PKA), inhibiting platelet aggregation and producing potent arterial vasodilation; also inhibits vascular smooth muscle cell proliferation.",sye-LOE-sta-zol,-azol,verified
